"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
139,"HOUSE OF DELEGATES, 51st District (Vote For 1)","GABE PEÑA","DEM",2045,41.35,0,5108,1,1,"0","0"
140,"HOUSE OF DELEGATES, 52nd District (Vote For 1)","LARRY L. ROWE","DEM",2287,52.00,0,4559,2,2,"0","0"
141,"HOUSE OF DELEGATES, 52nd District (Vote For 1)","GREG HENDRICKS","REP",2111,48.00,0,4559,2,2,"0","0"
142,"HOUSE OF DELEGATES, 53rd District (Vote For 1)","CHRIS PRITT","REP",2707,61.02,0,4649,1,1,"0","0"
143,"HOUSE OF DELEGATES, 53rd District (Vote For 1)","WAYNE CROZIER","DEM",1729,38.98,0,4649,1,1,"0","0"
144,"HOUSE OF DELEGATES, 54th District (Vote For 1)","MIKE PUSHKIN","DEM",3342,73.61,0,4710,1,1,"0","0"
145,"HOUSE OF DELEGATES, 54th District (Vote For 1)","JOHN LUONI","REP",1198,26.39,0,4710,1,1,"0","0"
146,"HOUSE OF DELEGATES, 55th District (Vote For 1)","MOORE CAPITO","REP",3476,59.23,0,6117,1,1,"0","0"
147,"HOUSE OF DELEGATES, 55th District (Vote For 1)","GREG CHILDRESS","DEM",2393,40.77,0,6117,1,1,"0","0"
148,"HOUSE OF DELEGATES, 56th District (Vote For 1)","KAYLA YOUNG","DEM",2886,50.51,0,5905,1,1,"0","0"
149,"HOUSE OF DELEGATES, 56th District (Vote For 1)","ANDREW G. ANDERSON","REP",2828,49.49,0,5905,1,1,"0","0"
150,"HOUSE OF DELEGATES, 57th District (Vote For 1)","DOUG SKAFF JR","DEM",3044,61.14,0,5174,1,1,"0","0"
151,"HOUSE OF DELEGATES, 57th District (Vote For 1)","ERNEST BLEVINS","REP",1650,33.14,0,5174,1,1,"0","0"
152,"HOUSE OF DELEGATES, 57th District (Vote For 1)","E.C. ""BUD"" ANDERSON","MTN",285,5.72,0,5174,1,1,"0","0"
153,"HOUSE OF DELEGATES, 58th District (Vote For 1)","WALTER HALL","REP",2971,62.21,0,5000,1,1,"0","0"
154,"HOUSE OF DELEGATES, 58th District (Vote For 1)","DAKOTA JAMES BUCKLEY","DEM",1805,37.79,0,5000,1,1,"0","0"
155,"HOUSE OF DELEGATES, 59th District (Vote For 1)","ANDY SHAMBLIN","REP",2767,62.07,0,4603,1,1,"0","0"
156,"HOUSE OF DELEGATES, 59th District (Vote For 1)","RUSTY WILLIAMS","DEM",1691,37.93,0,4603,1,1,"0","0"
157,"HOUSE OF DELEGATES, 60th District (Vote For 1)","DANA FERRELL","REP",3154,69.02,0,4739,1,1,"0","0"
158,"HOUSE OF DELEGATES, 60th District (Vote For 1)","DAVID ""WOODY"" HOLMES","DEM",1416,30.98,0,4739,1,1,"0","0"
159,"HOUSE OF DELEGATES, 61st District (Vote For 1)","WARREN DEAN JEFFRIES","REP",3764,100.00,0,4738,1,1,"0","0"
160,"HOUSE OF DELEGATES, 62nd District (Vote For 1)","ROGER HANSHAW","REP",3973,81.55,0,5418,3,3,"0","0"
161,"HOUSE OF DELEGATES, 62nd District (Vote For 1)","LAURA MCGINNIS","ACT",899,18.45,0,5418,3,3,"0","0"
162,"HOUSE OF DELEGATES, 63rd District (Vote For 1)","LORI COWGER DITTMAN","REP",3014,71.07,0,4338,2,2,"0","0"
163,"HOUSE OF DELEGATES, 63rd District (Vote For 1)","KEVIN CARPENTER","DEM",1227,28.93,0,4338,2,2,"0","0"
164,"HOUSE OF DELEGATES, 64th District (Vote For 1)","ADAM BURKHAMMER","REP",3583,76.95,0,4813,2,2,"0","0"
165,"HOUSE OF DELEGATES, 64th District (Vote For 1)","JOHN CLISE","DEM",1073,23.05,0,4813,2,2,"0","0"
166,"HOUSE OF DELEGATES, 65th District (Vote For 1)","CARL ""ROBBIE"" MARTIN","REP",3720,100.00,0,4731,1,1,"0","0"
167,"HOUSE OF DELEGATES, 66th District (Vote For 1)","WILLIAM ""TY"" NESTOR","REP",3102,66.11,0,4852,2,2,"0","0"
168,"HOUSE OF DELEGATES, 66th District (Vote For 1)","ROBERT ""BOB"" SHEETS","DEM",1590,33.89,0,4852,2,2,"0","0"
169,"HOUSE OF DELEGATES, 67th District (Vote For 1)","ELIAS COOP-GONZALEZ","REP",3496,60.30,0,6008,2,2,"0","0"
170,"HOUSE OF DELEGATES, 67th District (Vote For 1)","CODY H THOMPSON","DEM",2302,39.70,0,6008,2,2,"0","0"
171,"HOUSE OF DELEGATES, 68th District (Vote For 1)","CHRIS PHILLIPS","REP",4178,100.00,0,5055,2,2,"0","0"
172,"HOUSE OF DELEGATES, 69th District (Vote For 1)","KEITH MARPLE","REP",3779,67.33,0,5755,2,2,"0","0"
173,"HOUSE OF DELEGATES, 69th District (Vote For 1)","RON WATSON","DEM",1834,32.67,0,5755,2,2,"0","0"
174,"HOUSE OF DELEGATES, 70th District (Vote For 1)","MICKEY PETITTO","REP",2108,53.83,0,4076,1,1,"0","0"
175,"HOUSE OF DELEGATES, 70th District (Vote For 1)","RYAN DEEMS","DEM",1808,46.17,0,4076,1,1,"0","0"
176,"HOUSE OF DELEGATES, 71st District (Vote For 1)","LAURA KIMBLE","REP",3314,58.14,0,5821,1,1,"0","0"
177,"HOUSE OF DELEGATES, 71st District (Vote For 1)","ROBERT ""ROB"" GARCIA","DEM",2386,41.86,0,5821,1,1,"0","0"
