TOTAL VOTER TURNOUT: 97,057,730
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-11-05	12	0	0	60	MONTMORENCY	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			0	Y		
2024-11-05	12	0	0	61	MUSKEGON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			2717			
2024-11-05	12	0	0	61	MUSKEGON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		2795			
2024-11-05	12	0	0	61	MUSKEGON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			43185			
2024-11-05	12	0	0	61	MUSKEGON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			41182			
2024-11-05	12	0	0	61	MUSKEGON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466904	VARTANIAN	SEVAG			37060			
2024-11-05	12	0	0	61	MUSKEGON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			39745			
2024-11-05	12	0	0	61	MUSKEGON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			0	Y		
2024-11-05	12	0	0	62	NEWAYGO	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			767			
2024-11-05	12	0	0	62	NEWAYGO	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		957			
2024-11-05	12	0	0	62	NEWAYGO	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			19324			
2024-11-05	12	0	0	62	NEWAYGO	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			7177			
2024-11-05	12	0	0	62	NEWAYGO	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466904	VARTANIAN	SEVAG			17473			
2024-11-05	12	0	0	62	NEWAYGO	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			6852			
2024-11-05	12	0	0	62	NEWAYGO	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			0	Y		
2024-11-05	12	0	0	63	OAKLAND	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			19024			
2024-11-05	12	0	0	63	OAKLAND	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		15519			
2024-11-05	12	0	0	63	OAKLAND	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			313206			
2024-11-05	12	0	0	63	OAKLAND	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			388901			
2024-11-05	12	0	0	63	OAKLAND	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466904	VARTANIAN	SEVAG			278573			
