elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/28/2022,"FEDERAL, STATE AND COUNTY",19114,"FOR ASSOCIATE DISTRICT JUDGE LATIMER COUNTY",,13,13,3,"DAVID HALE",,3,39,449,491,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19130,"FOR ASSOCIATE DISTRICT JUDGE OKLAHOMA COUNTY",,290,290,1,"ANGELA SINGLETON",,3683,1332,39013,44028,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19130,"FOR ASSOCIATE DISTRICT JUDGE OKLAHOMA COUNTY",,290,290,2,"CHRISTIAN HENRY",,1192,508,15455,17155,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19130,"FOR ASSOCIATE DISTRICT JUDGE OKLAHOMA COUNTY",,290,290,3,"RICHARD W. KIRBY",,3340,902,28146,32388,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19141,"FOR ASSOCIATE DISTRICT JUDGE ROGERS COUNTY",,38,38,1,"SUE NIGH",,530,1032,6998,8560,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19141,"FOR ASSOCIATE DISTRICT JUDGE ROGERS COUNTY",,38,38,2,"MARK ANTINORO",,163,402,2531,3096,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19141,"FOR ASSOCIATE DISTRICT JUDGE ROGERS COUNTY",,38,38,3,"TOM SAWYER",,121,371,4330,4822,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19148,"FOR ASSOCIATE DISTRICT JUDGE WAGONER COUNTY",,27,27,1,"REBECCA HUNTER",,225,578,6112,6915,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19148,"FOR ASSOCIATE DISTRICT JUDGE WAGONER COUNTY",,27,27,2,"STEVE MONEY",,67,231,2476,2774,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19148,"FOR ASSOCIATE DISTRICT JUDGE WAGONER COUNTY",,27,27,3,"ERIC MICHAEL JORDAN",,45,116,1607,1768,,
6/28/2022,"MCINTOSH COUNTY",30001,"PROPOSITION",,15,15,1,"FOR THE PROPOSITION - YES",,42,132,1843,2017,MCINTOSH
6/28/2022,"MCINTOSH COUNTY",30001,"PROPOSITION",,15,15,2,"AGAINST THE PROPOSITION - NO",,36,110,1728,1874,MCINTOSH
6/28/2022,"OKMULGEE COUNTY",30002,"PROPOSITION",,25,25,1,"FOR THE PROPOSITION - YES",,56,164,2231,2451,OKMULGEE
6/28/2022,"OKMULGEE COUNTY",30002,"PROPOSITION",,25,25,2,"AGAINST THE PROPOSITION - NO",,49,135,2019,2203,OKMULGEE
6/28/2022,"CARTER COUNTY",30003,"PROPOSITION NO. 1",,28,28,1,"FOR THE PROPOSITION - YES",,95,215,2861,3171,CARTER
6/28/2022,"CARTER COUNTY",30003,"PROPOSITION NO. 1",,28,28,2,"AGAINST THE PROPOSITION - NO",,58,142,2133,2333,CARTER
6/28/2022,"PONTOTOC COUNTY",30004,"PROPOSITION",,20,20,1,"FOR THE PROPOSITION - YES",,72,165,1850,2087,PONTOTOC
6/28/2022,"PONTOTOC COUNTY",30004,"PROPOSITION",,20,20,2,"AGAINST THE PROPOSITION - NO",,65,163,1917,2145,PONTOTOC
6/28/2022,"GREER COUNTY",30005,"PROPOSITION",,6,6,1,"FOR THE PROPOSITION - YES",,8,63,360,431,GREER
6/28/2022,"GREER COUNTY",30005,"PROPOSITION",,6,6,2,"AGAINST THE PROPOSITION - NO",,3,9,218,230,GREER
6/28/2022,"GARVIN COUNTY",30006,"PROPOSITION",,17,17,1,"FOR THE PROPOSITION - YES",,39,98,1452,1589,GARVIN
6/28/2022,"GARVIN COUNTY",30006,"PROPOSITION",,17,17,2,"AGAINST THE PROPOSITION - NO",,23,117,1870,2010,GARVIN
6/28/2022,"DELAWARE COUNTY",30007,"PROPOSITION",,18,18,1,"FOR THE PROPOSITION - YES",,181,273,3854,4308,DELAWARE
6/28/2022,"DELAWARE COUNTY",30007,"PROPOSITION",,18,18,2,"AGAINST THE PROPOSITION - NO",,89,106,2037,2232,DELAWARE
6/28/2022,"HARPER COUNTY",30008,"PROPOSITION",,6,6,1,"FOR THE PROPOSITION - YES",,29,44,545,618,HARPER
6/28/2022,"HARPER COUNTY",30008,"PROPOSITION",,6,6,2,"AGAINST THE PROPOSITION - NO",,6,9,125,140,HARPER
6/28/2022,"PUSHMATAHA COUNTY",30009,"PROPOSITION PUSHMATAHA COUNTY HOSPITAL SALES TAX",,12,12,1,"FOR THE PROPOSITION - YES",,18,115,762,895,PUSHMATAHA
6/28/2022,"PUSHMATAHA COUNTY",30009,"PROPOSITION PUSHMATAHA COUNTY HOSPITAL SALES TAX",,12,12,2,"AGAINST THE PROPOSITION - NO",,11,38,609,658,PUSHMATAHA
6/28/2022,"OKLAHOMA COUNTY",30010,"PROPOSITION",,290,290,1,"FOR THE PROPOSITION - YES",,5531,1852,53899,61282,OKLAHOMA
6/28/2022,"OKLAHOMA COUNTY",30010,"PROPOSITION",,290,290,2,"AGAINST THE PROPOSITION - NO",,3576,1131,37424,42131,OKLAHOMA
6/28/2022,"NOWATA COUNTY",30011,"PROPOSITION NO. 1",,12,12,1,"FOR THE PROPOSITION - YES",,30,107,1044,1181,NOWATA
6/28/2022,"NOWATA COUNTY",30011,"PROPOSITION NO. 1",,12,12,2,"AGAINST THE PROPOSITION - NO",,6,29,487,522,NOWATA
6/28/2022,"NOWATA COUNTY",30012,"PROPOSITION NO. 2",,12,12,1,"FOR THE PROPOSITION - YES",,30,79,904,1013,NOWATA
6/28/2022,"NOWATA COUNTY",30012,"PROPOSITION NO. 2",,12,12,2,"AGAINST THE PROPOSITION - NO",,8,57,633,698,NOWATA
6/28/2022,"CARTER COUNTY",30013,"PROPOSITION NO. 2",,28,28,1,"FOR THE PROPOSITION - YES",,98,218,3065,3381,CARTER
6/28/2022,"CARTER COUNTY",30013,"PROPOSITION NO. 2",,28,28,2,"AGAINST THE PROPOSITION - NO",,56,139,1928,2123,CARTER
6/28/2022,"TOWN OF BENNINGTON",40701,"PROPOSITION NO. 1  TOWN OF BENNINGTON",,1,1,1,"FOR THE PROPOSITION - YES",,0,0,19,19,,
6/28/2022,"TOWN OF BENNINGTON",40701,"PROPOSITION NO. 1  TOWN OF BENNINGTON",,1,1,2,"AGAINST THE PROPOSITION - NO",,2,0,6,8,,
6/28/2022,"TOWN OF BENNINGTON",40702,"PROPOSITION NO. 2  TOWN OF BENNINGTON",,1,1,1,"FOR THE PROPOSITION - YES",,0,0,16,16,,
6/28/2022,"TOWN OF BENNINGTON",40702,"PROPOSITION NO. 2  TOWN OF BENNINGTON",,1,1,2,"AGAINST THE PROPOSITION - NO",,2,0,9,11,,
6/28/2022,"TOWN OF UNION CITY",40901,"PROPOSITION  TOWN OF UNION CITY",,2,2,1,"FOR THE PROPOSITION - YES",,2,1,212,215,,
6/28/2022,"TOWN OF UNION CITY",40901,"PROPOSITION  TOWN OF UNION CITY",,2,2,2,"AGAINST THE PROPOSITION - NO",,3,4,90,97,,
6/28/2022,"CITY OF VINITA",41801,"PROPOSITION  CITY OF VINITA",,8,8,1,"FOR THE PROPOSITION - YES",,4,13,130,147,,
6/28/2022,"CITY OF VINITA",41801,"PROPOSITION  CITY OF VINITA",,8,8,2,"AGAINST THE PROPOSITION - NO",,21,44,539,604,,
6/28/2022,"CITY OF THOMAS",42001,"PROPOSITION  CITY OF THOMAS",,1,1,1,"FOR THE PROPOSITION - YES",,4,4,208,216,,
6/28/2022,"CITY OF THOMAS",42001,"PROPOSITION  CITY OF THOMAS",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,2,38,40,,
6/28/2022,"TOWN OF ARNETT",42301,"PROPOSITION NO. 1  TOWN OF ARNETT",,1,1,1,"FOR THE PROPOSITION - YES",,1,13,54,68,,
6/28/2022,"TOWN OF ARNETT",42301,"PROPOSITION NO. 1  TOWN OF ARNETT",,1,1,2,"AGAINST THE PROPOSITION - NO",,3,9,38,50,,
6/28/2022,"TOWN OF ARNETT",42302,"PROPOSITION NO. 2  TOWN OF ARNETT",,1,1,1,"FOR THE PROPOSITION - YES",,1,13,48,62,,
6/28/2022,"TOWN OF ARNETT",42302,"PROPOSITION NO. 2  TOWN OF ARNETT",,1,1,2,"AGAINST THE PROPOSITION - NO",,3,9,44,56,,
6/28/2022,"TOWN OF SHATTUCK",42303,"PROPOSITION  TOWN OF SHATTUCK",,2,2,1,"FOR THE PROPOSITION - YES",,3,3,204,210,,
6/28/2022,"TOWN OF SHATTUCK",42303,"PROPOSITION  TOWN OF SHATTUCK",,2,2,2,"AGAINST THE PROPOSITION - NO",,1,0,39,40,,
6/28/2022,"CITY OF ENID",42401,"PROPOSITION  CITY OF ENID",,24,24,1,"FOR THE PROPOSITION - YES",,270,450,3999,4719,,
6/28/2022,"CITY OF ENID",42401,"PROPOSITION  CITY OF ENID",,24,24,2,"AGAINST THE PROPOSITION - NO",,56,79,1200,1335,,
6/28/2022,"TOWN OF CARRIER",42402,"PROPOSITION  TOWN OF CARRIER",,2,2,1,"FOR THE PROPOSITION - YES",,3,4,27,34,,
6/28/2022,"TOWN OF CARRIER",42402,"PROPOSITION  TOWN OF CARRIER",,2,2,2,"AGAINST THE PROPOSITION - NO",,0,0,2,2,,
6/28/2022,"CITY OF TUTTLE",42601,"PROPOSITION  CITY OF TUTTLE",,5,5,1,"FOR THE PROPOSITION - YES",,24,20,690,734,,
6/28/2022,"CITY OF TUTTLE",42601,"PROPOSITION  CITY OF TUTTLE",,5,5,2,"AGAINST THE PROPOSITION - NO",,29,16,483,528,,
6/28/2022,"TOWN OF MCCURTAIN",43101,"PROPOSITION  TOWN OF MCCURTAIN",,1,1,1,"FOR THE PROPOSITION - YES",,0,0,63,63,,
6/28/2022,"TOWN OF MCCURTAIN",43101,"PROPOSITION  TOWN OF MCCURTAIN",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,0,14,14,,
6/28/2022,"TOWN OF MARTHA",43301,"PROPOSITION  TOWN OF MARTHA",,1,1,1,"FOR THE PROPOSITION - YES",,0,6,77,83,,
6/28/2022,"TOWN OF MARTHA",43301,"PROPOSITION  TOWN OF MARTHA",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,1,12,13,,
6/28/2022,"CITY OF WAURIKA",43401,"PROPOSITION  CITY OF WAURIKA",,3,3,1,"FOR THE PROPOSITION - YES",,0,24,119,143,,
6/28/2022,"CITY OF WAURIKA",43401,"PROPOSITION  CITY OF WAURIKA",,3,3,2,"AGAINST THE PROPOSITION - NO",,1,9,40,50,,
6/28/2022,"TOWN OF RED OAK",43901,"PROPOSITION  TOWN OF RED OAK",,1,1,1,"FOR THE PROPOSITION - YES",,8,2,67,77,,
6/28/2022,"TOWN OF RED OAK",43901,"PROPOSITION  TOWN OF RED OAK",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,0,13,13,,
6/28/2022,"TOWN OF BOKOSHE",44001,"PROPOSITION  TOWN OF BOKOSHE",,2,2,1,"FOR THE PROPOSITION - YES",,0,0,38,38,,
6/28/2022,"TOWN OF BOKOSHE",44001,"PROPOSITION  TOWN OF BOKOSHE",,2,2,2,"AGAINST THE PROPOSITION - NO",,0,0,2,2,,
6/28/2022,"CITY OF BLANCHARD",44401,"PROPOSITION  CITY OF BLANCHARD",,9,9,1,"FOR THE PROPOSITION - YES",,54,18,845,917,,
6/28/2022,"CITY OF BLANCHARD",44401,"PROPOSITION  CITY OF BLANCHARD",,9,9,2,"AGAINST THE PROPOSITION - NO",,35,5,416,456,,
6/28/2022,"TOWN OF FORT GIBSON",45101,"PROPOSITION NO. 1  TOWN OF FORT GIBSON",,2,2,1,"FOR THE PROPOSITION - YES",,7,18,324,349,,
6/28/2022,"TOWN OF FORT GIBSON",45101,"PROPOSITION NO. 1  TOWN OF FORT GIBSON",,2,2,2,"AGAINST THE PROPOSITION - NO",,10,19,240,269,,
6/28/2022,"TOWN OF FORT GIBSON",45102,"PROPOSITION NO. 2  TOWN OF FORT GIBSON",,2,2,1,"FOR THE PROPOSITION - YES",,9,17,311,337,,
6/28/2022,"TOWN OF FORT GIBSON",45102,"PROPOSITION NO. 2  TOWN OF FORT GIBSON",,2,2,2,"AGAINST THE PROPOSITION - NO",,8,20,254,282,,
6/28/2022,"CITY OF SHAWNEE",46301,"FOR WARD ONE COMMISSIONER  CITY OF SHAWNEE",,15,15,1,"ROB MORRIS",,152,120,1317,1589,,
6/28/2022,"CITY OF SHAWNEE",46301,"FOR WARD ONE COMMISSIONER  CITY OF SHAWNEE",,15,15,2,"DANIEL J. MATTHEWS",,242,206,1771,2219,,
6/28/2022,"CITY OF SHAWNEE",46302,"FOR WARD FIVE COMMISSIONER  CITY OF SHAWNEE",,15,15,1,"MARK SEHORN",,284,204,1918,2406,,
6/28/2022,"CITY OF SHAWNEE",46302,"FOR WARD FIVE COMMISSIONER  CITY OF SHAWNEE",,15,15,2,"JOEY WARD",,112,124,1198,1434,,
6/28/2022,"CITY OF SHAWNEE",46303,"FOR WARD SIX COMMISSIONER  CITY OF SHAWNEE",,15,15,1,"EDWINA BUTLER-WOLFE",,103,57,608,768,,
6/28/2022,"CITY OF SHAWNEE",46303,"FOR WARD SIX COMMISSIONER  CITY OF SHAWNEE",,15,15,2,"LAUREN RICHTER",,163,134,1184,1481,,
6/28/2022,"CITY OF SHAWNEE",46303,"FOR WARD SIX COMMISSIONER  CITY OF SHAWNEE",,15,15,3,"ALAN ROGERS",,122,136,1277,1535,,
6/28/2022,"CITY OF SHAWNEE",46304,"FOR WARD TWO COMMISSIONER (UNEXPIRED TERM)  CITY OF SHAWNEE",,15,15,1,"AMY CAMARATA",,146,139,1360,1645,,
6/28/2022,"CITY OF SHAWNEE",46304,"FOR WARD TWO COMMISSIONER (UNEXPIRED TERM)  CITY OF SHAWNEE",,15,15,2,"CAMI ENGLES",,247,194,1737,2178,,
6/28/2022,"TOWN OF EARLSBORO",46305,"PROPOSITION  TOWN OF EARLSBORO",,3,3,1,"FOR THE PROPOSITION - YES",,3,0,55,58,,
6/28/2022,"TOWN OF EARLSBORO",46305,"PROPOSITION  TOWN OF EARLSBORO",,3,3,2,"AGAINST THE PROPOSITION - NO",,0,0,42,42,,
6/28/2022,"CITY OF SEMINOLE",46701,"PROPOSITION  CITY OF SEMINOLE",,5,5,1,"FOR THE PROPOSITION - YES",,3,24,412,439,,
6/28/2022,"CITY OF SEMINOLE",46701,"PROPOSITION  CITY OF SEMINOLE",,5,5,2,"AGAINST THE PROPOSITION - NO",,2,3,143,148,,
6/28/2022,"CITY OF SAND SPRINGS",47201,"PROPOSITION NO. 1  CITY OF SAND SPRINGS",,17,17,1,"FOR THE PROPOSITION - YES",,86,45,2007,2138,,
6/28/2022,"CITY OF SAND SPRINGS",47201,"PROPOSITION NO. 1  CITY OF SAND SPRINGS",,17,17,2,"AGAINST THE PROPOSITION - NO",,42,12,1014,1068,,
6/28/2022,"CITY OF SAND SPRINGS",47202,"PROPOSITION NO. 2  CITY OF SAND SPRINGS",,17,17,1,"FOR THE PROPOSITION - YES",,82,40,1814,1936,,
6/28/2022,"CITY OF SAND SPRINGS",47202,"PROPOSITION NO. 2  CITY OF SAND SPRINGS",,17,17,2,"AGAINST THE PROPOSITION - NO",,47,17,1189,1253,,
6/28/2022,"CITY OF SAND SPRINGS",47203,"PROPOSITION NO. 3  CITY OF SAND SPRINGS",,17,17,1,"FOR THE PROPOSITION - YES",,84,44,1883,2011,,
6/28/2022,"CITY OF SAND SPRINGS",47203,"PROPOSITION NO. 3  CITY OF SAND SPRINGS",,17,17,2,"AGAINST THE PROPOSITION - NO",,46,13,1124,1183,,
6/28/2022,"CITY OF SAND SPRINGS",47204,"PROPOSITION NO. 4  CITY OF SAND SPRINGS",,17,17,1,"FOR THE PROPOSITION - YES",,68,39,1521,1628,,
6/28/2022,"CITY OF SAND SPRINGS",47204,"PROPOSITION NO. 4  CITY OF SAND SPRINGS",,17,17,2,"AGAINST THE PROPOSITION - NO",,59,18,1452,1529,,
6/28/2022,"TOWN OF FORT SUPPLY",47701,"PROPOSITION NO. 1  TOWN OF FORT SUPPLY",,1,1,1,"FOR THE PROPOSITION - YES",,0,0,14,14,,
6/28/2022,"TOWN OF FORT SUPPLY",47701,"PROPOSITION NO. 1  TOWN OF FORT SUPPLY",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,1,65,66,,
6/28/2022,"JUSTUS-TIAWAH PUBLIC SCHOOL ELEMENTARY SCHOOL DISTRICT NO. 009",56601,"PROPOSITION NO. 1  JUSTUS-TIAWAH PUBLIC SCHOOL",,6,6,1,"FOR THE PROPOSITION - YES",,22,101,608,731,,
6/28/2022,"JUSTUS-TIAWAH PUBLIC SCHOOL ELEMENTARY SCHOOL DISTRICT NO. 009",56601,"PROPOSITION NO. 1  JUSTUS-TIAWAH PUBLIC SCHOOL",,6,6,2,"AGAINST THE PROPOSITION - NO",,5,49,295,349,,
6/28/2022,"JUSTUS-TIAWAH PUBLIC SCHOOL ELEMENTARY SCHOOL DISTRICT NO. 009",56602,"PROPOSITION NO. 2  JUSTUS-TIAWAH PUBLIC SCHOOL",,6,6,1,"FOR THE PROPOSITION - YES",,22,93,563,678,,
6/28/2022,"JUSTUS-TIAWAH PUBLIC SCHOOL ELEMENTARY SCHOOL DISTRICT NO. 009",56602,"PROPOSITION NO. 2  JUSTUS-TIAWAH PUBLIC SCHOOL",,6,6,2,"AGAINST THE PROPOSITION - NO",,5,55,338,398,,
