elstats_search_e5d12a547abf8d04
contest_id,election_id,election_date,election_type,primary_party,question_text,question_type,office_id,office_name,office_modifier,district_id,district_type,district_name,candidate_id,candidate_name,retention_candidate_id,retention_candidate_name,division_id,division_type,division_name,vote_channel,is_winner,number_seats,candidate_party_id,candidate_party_name,votes
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6335,Polling Place,1-Gaffney School,Early,FALSE,1,,,211
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Same Day Registration,TRUE,1,1,Democratic,9
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Unknown,TRUE,1,1,Democratic,14
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Election Day,TRUE,1,1,Democratic,500
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Absentee,TRUE,1,1,Democratic,88
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Early,TRUE,1,1,Democratic,353
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Same Day Registration,TRUE,1,7,Working Families,4
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Unknown,TRUE,1,7,Working Families,1
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Election Day,TRUE,1,7,Working Families,37
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Absentee,TRUE,1,7,Working Families,4
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6336,Polling Place,2-St. Maurice Church Hall,Early,TRUE,1,7,Working Families,16
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6336,Polling Place,2-St. Maurice Church Hall,Same Day Registration,FALSE,1,2,Republican,11
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6336,Polling Place,2-St. Maurice Church Hall,Unknown,FALSE,1,2,Republican,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6336,Polling Place,2-St. Maurice Church Hall,Election Day,FALSE,1,2,Republican,491
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6336,Polling Place,2-St. Maurice Church Hall,Absentee,FALSE,1,2,Republican,54
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6336,Polling Place,2-St. Maurice Church Hall,Early,FALSE,1,2,Republican,222
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6336,Polling Place,2-St. Maurice Church Hall,Same Day Registration,FALSE,1,9,Petitioning Candidate,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6336,Polling Place,2-St. Maurice Church Hall,Unknown,FALSE,1,9,Petitioning Candidate,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6336,Polling Place,2-St. Maurice Church Hall,Election Day,FALSE,1,9,Petitioning Candidate,5
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6336,Polling Place,2-St. Maurice Church Hall,Absentee,FALSE,1,9,Petitioning Candidate,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6336,Polling Place,2-St. Maurice Church Hall,Early,FALSE,1,9,Petitioning Candidate,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Same Day Registration,FALSE,1,,,24
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Unknown,FALSE,1,,,15
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Election Day,FALSE,1,,,1033
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Absentee,FALSE,1,,,146
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Early,FALSE,1,,,591
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Same Day Registration,FALSE,1,,,24
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Unknown,FALSE,1,,,15
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Election Day,FALSE,1,,,1033
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Absentee,FALSE,1,,,146
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6336,Polling Place,2-St. Maurice Church Hall,Early,FALSE,1,,,591
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6337,Polling Place,3-Vance Village School,Same Day Registration,TRUE,1,1,Democratic,45
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6337,Polling Place,3-Vance Village School,Unknown,TRUE,1,1,Democratic,35
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6337,Polling Place,3-Vance Village School,Election Day,TRUE,1,1,Democratic,870
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6337,Polling Place,3-Vance Village School,Absentee,TRUE,1,1,Democratic,92
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6337,Polling Place,3-Vance Village School,Early,TRUE,1,1,Democratic,475
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6337,Polling Place,3-Vance Village School,Same Day Registration,TRUE,1,7,Working Families,7
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6337,Polling Place,3-Vance Village School,Unknown,TRUE,1,7,Working Families,3
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6337,Polling Place,3-Vance Village School,Election Day,TRUE,1,7,Working Families,89
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6337,Polling Place,3-Vance Village School,Absentee,TRUE,1,7,Working Families,7
