Table 1
DIST,CTY,Municipality,"Bernard, Susan Y.","McLaughlin, Vaughn James",,,
,,,Caribou,Fort Fairfield,,,
,,,Republican,Democratic,Blank,TBC,
,,Total,11941,15064,1132,28137,
,,,,,,,
,,,"Lawrence, Mark W.","Rakic, Julie N.",,,
,,,Eliot,Kittery,,,
DIST,CTY,Municipality,Democratic,Republican,Blank,TBC,
35,YOR,Eliot,2780,1800,124,4704,
35,YOR,Kittery,4326,1938,324,6588,
35,YOR,Ogunquit,727,348,40,1115,
35,YOR,South Berwick,2774,1799,171,4744,
35,YOR,York,5681,3537,462,9680,
35,,STATE UOCAVA,203,31,17,251,
,,Total,16491,9453,1138,27082,
