elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/18/2024,"TOWN OF SPRINGER",41001,"PROPOSITION  TOWN OF SPRINGER",,3,3,1,"FOR THE PROPOSITION - YES",,0,2,79,81,,
6/18/2024,"TOWN OF SPRINGER",41001,"PROPOSITION  TOWN OF SPRINGER",,3,3,2,"AGAINST THE PROPOSITION - NO",,0,5,39,44,,
6/18/2024,"TOWN OF BERNICE",42101,"PROPOSITION  TOWN OF BERNICE",,2,2,1,"FOR THE PROPOSITION - YES",,0,0,40,40,,
6/18/2024,"TOWN OF BERNICE",42101,"PROPOSITION  TOWN OF BERNICE",,2,2,2,"AGAINST THE PROPOSITION - NO",,0,0,17,17,,
6/18/2024,"CITY OF TISHOMINGO",43501,"FOR COUNCILMEMBER WARD 2   CITY OF TISHOMINGO",,5,5,1,"ELI VANDEVIER",,2,38,150,190,,
6/18/2024,"CITY OF TISHOMINGO",43501,"FOR COUNCILMEMBER WARD 2   CITY OF TISHOMINGO",,5,5,2,"LAURA WOOD",,3,58,156,217,,
6/18/2024,"CITY OF TISHOMINGO",43502,"FOR COUNCILMEMBER WARD 4   CITY OF TISHOMINGO",,5,5,1,"JEREMY POPE",,1,55,180,236,,
6/18/2024,"CITY OF TISHOMINGO",43502,"FOR COUNCILMEMBER WARD 4   CITY OF TISHOMINGO",,5,5,2,"SHARON L. BOSTON",,4,39,120,163,,
6/18/2024,"TOWN OF MULHALL",44201,"PROPOSITION  TOWN OF MULHALL",,1,1,1,"FOR THE PROPOSITION - YES",,0,1,29,30,,
6/18/2024,"TOWN OF MULHALL",44201,"PROPOSITION  TOWN OF MULHALL",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,0,9,9,,
6/18/2024,"CITY OF BROKEN BOW",44501,"PROPOSITION  CITY OF BROKEN BOW",,5,5,1,"FOR THE PROPOSITION - YES",,1,0,183,184,,
6/18/2024,"CITY OF BROKEN BOW",44501,"PROPOSITION  CITY OF BROKEN BOW",,5,5,2,"AGAINST THE PROPOSITION - NO",,3,12,91,106,,
6/18/2024,"TOWN OF LANGLEY",44901,"PROPOSITION  TOWN OF LANGLEY",,3,3,1,"FOR THE PROPOSITION - YES",,0,0,48,48,,
6/18/2024,"TOWN OF LANGLEY",44901,"PROPOSITION  TOWN OF LANGLEY",,3,3,2,"AGAINST THE PROPOSITION - NO",,1,1,27,29,,
6/18/2024,"TOWN OF WARNER",45101,"PROPOSITION  TOWN OF WARNER",,1,1,1,"FOR THE PROPOSITION - YES",,0,9,170,179,,
6/18/2024,"TOWN OF WARNER",45101,"PROPOSITION  TOWN OF WARNER",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,0,19,19,,
6/18/2024,"TOWN OF MORRISON",45201,"FOR BOARD OF TRUSTEES (UNEXPIRED TERM)  TOWN OF MORRISON",,1,1,1,"KEITH BRIXEY",,0,0,36,36,,
6/18/2024,"TOWN OF MORRISON",45201,"FOR BOARD OF TRUSTEES (UNEXPIRED TERM)  TOWN OF MORRISON",,1,1,2,"JANET CHRISTINE BENES",,2,1,56,59,,
6/18/2024,"CITY OF EDMOND",45501,"PROPOSITION  CITY OF EDMOND",,37,37,1,"FOR THE PROPOSITION - YES",,643,95,3706,4444,,
6/18/2024,"CITY OF EDMOND",45501,"PROPOSITION  CITY OF EDMOND",,37,37,2,"AGAINST THE PROPOSITION - NO",,288,50,2304,2642,,
6/18/2024,"CITY OF HENRYETTA",45601,"PROPOSITION  CITY OF HENRYETTA",,7,7,1,"FOR THE PROPOSITION - YES",,14,10,194,218,,
6/18/2024,"CITY OF HENRYETTA",45601,"PROPOSITION  CITY OF HENRYETTA",,7,7,2,"AGAINST THE PROPOSITION - NO",,2,9,100,111,,
