TOTAL VOTER TURNOUT: 98,647,187
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	6	Green	520336	Hogan	Kevin			8			
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	8	No  Affiliation	520647	Blackburn	Justin	Paul		0	W		
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	8	No  Affiliation	520879	Hunt Jr.	Eugene	Rosell		0	W		
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	8	No  Affiliation	520880	Deck	Michael	Ray		0	W		
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	8	No  Affiliation	520881	Kelley	Michael	David		0	W		
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	8	No  Affiliation	520882	Gipson	Joyce	Priscilla		0	W		
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	8	No  Affiliation	520905	Lamie	Ervin	Joseph		0	W		
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	8	No  Affiliation	520913	Adkisson	Elizabeth	Ann		0	W		
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	3	Libertarian	520929	Buzuma	Mary			32			
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	7	Natural Law	520968	Simpson	Daryl	M.		3			
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	8	No  Affiliation	521036	Hunt	Joseph	Michael		0	W		
2022-11-08	2	00000	0	7	BARAGA	Governor 4 Year Term (1) Position	8	No  Affiliation	521064	Irving	Joseph			0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	1	Democratic	518014	Whitmer	Gretchen			11552			E
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	518032	Space	Evan	S.		0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	519817	Scott	Bob			0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	2	Republican	520065	Dixon	Tudor	M.		18547			
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	4	US Taxpayers	520136	Brandenburg	Donna			153			
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	6	Green	520336	Hogan	Kevin			97			
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	520647	Blackburn	Justin	Paul		0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	520879	Hunt Jr.	Eugene	Rosell		0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	520880	Deck	Michael	Ray		0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	520881	Kelley	Michael	David		0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	520882	Gipson	Joyce	Priscilla		0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	520905	Lamie	Ervin	Joseph		0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	520913	Adkisson	Elizabeth	Ann		0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	3	Libertarian	520929	Buzuma	Mary			304			
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	7	Natural Law	520968	Simpson	Daryl	M.		44			
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	521036	Hunt	Joseph	Michael		0	W		
2022-11-08	2	00000	0	8	BARRY	Governor 4 Year Term (1) Position	8	No  Affiliation	521064	Irving	Joseph			0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	1	Democratic	518014	Whitmer	Gretchen			24783			E
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	518032	Space	Evan	S.		0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	519817	Scott	Bob			0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	2	Republican	520065	Dixon	Tudor	M.		23448			
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	4	US Taxpayers	520136	Brandenburg	Donna			269			
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	6	Green	520336	Hogan	Kevin			160			
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	520647	Blackburn	Justin	Paul		0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	520879	Hunt Jr.	Eugene	Rosell		0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	520880	Deck	Michael	Ray		0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	520881	Kelley	Michael	David		0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	520882	Gipson	Joyce	Priscilla		0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	520905	Lamie	Ervin	Joseph		0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	520913	Adkisson	Elizabeth	Ann		0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	3	Libertarian	520929	Buzuma	Mary			466			
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	7	Natural Law	520968	Simpson	Daryl	M.		83			
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	521036	Hunt	Joseph	Michael		0	W		
2022-11-08	2	00000	0	9	BAY	Governor 4 Year Term (1) Position	8	No  Affiliation	521064	Irving	Joseph			0	W		
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	1	Democratic	518014	Whitmer	Gretchen			5446			E
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	8	No  Affiliation	518032	Space	Evan	S.		1	W		
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	8	No  Affiliation	519817	Scott	Bob			0	W		
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	2	Republican	520065	Dixon	Tudor	M.		5064			
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	4	US Taxpayers	520136	Brandenburg	Donna			36			
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	6	Green	520336	Hogan	Kevin			31			
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	8	No  Affiliation	520647	Blackburn	Justin	Paul		0	W		
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	8	No  Affiliation	520879	Hunt Jr.	Eugene	Rosell		0	W		
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	8	No  Affiliation	520880	Deck	Michael	Ray		0	W		
2022-11-08	2	00000	0	10	BENZIE	Governor 4 Year Term (1) Position	8	No  Affiliation	520881	Kelley	Michael	David		0	W		
