"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
90,"State  Senate, District  23 (Vote For 1)","Write-In","NON",879,2.08,190088,53499,1,1,"0","0"
91,"State  Senate, District  24 (Vote For 1)","REP Tom Young","REP",38470,67.01,113203,58954,1,1,"0","0"
92,"State  Senate, District  24 (Vote For 1)","DEM Dee Elder","DEM",18909,32.94,113203,58954,1,1,"0","0"
93,"State  Senate, District  24 (Vote For 1)","Write-In","NON",30,0.05,113203,58954,1,1,"0","0"
94,"State  Senate, District  25 (Vote For 1)","REP Shane Massey","REP",43300,98.99,340468,61982,5,5,"0","0"
95,"State  Senate, District  25 (Vote For 1)","Write-In","NON",441,1.01,340468,61982,5,5,"0","0"
96,"State  Senate, District  26 (Vote For 1)","REP Jason Guerry","REP",18104,45.02,461079,42685,3,3,"0","0"
97,"State  Senate, District  26 (Vote For 1)","DEM Russell Ott","DEM",22049,54.83,461079,42685,3,3,"0","0"
98,"State  Senate, District  26 (Vote For 1)","Write-In","NON",62,0.15,461079,42685,3,3,"0","0"
99,"State  Senate, District  27 (Vote For 1)","REP Allen Blackmon","REP",37693,70.16,136782,55515,3,3,"0","0"
100,"State  Senate, District  27 (Vote For 1)","DEM Yokima Cureton","DEM",15976,29.74,136782,55515,3,3,"0","0"
101,"State  Senate, District  27 (Vote For 1)","Write-In","NON",57,0.11,136782,55515,3,3,"0","0"
102,"State  Senate, District  28 (Vote For 1)","REP Greg Hembree","REP",56477,99.13,267402,72417,1,1,"0","0"
103,"State  Senate, District  28 (Vote For 1)","Write-In","NON",498,0.87,267402,72417,1,1,"0","0"
104,"State  Senate, District  29 (Vote For 1)","REP JD Chaplin","REP",24978,50.23,152905,50953,5,5,"0","0"
105,"State  Senate, District  29 (Vote For 1)","DEM Gerald Malloy","DEM",24700,49.67,152905,50953,5,5,"0","0"
106,"State  Senate, District  29 (Vote For 1)","Write-In","NON",51,0.10,152905,50953,5,5,"0","0"
107,"State  Senate, District  30 (Vote For 1)","REP Rodney Berry","REP",21024,45.21,428834,48122,5,5,"0","0"
108,"State  Senate, District  30 (Vote For 1)","DEM Kent M Williams","DEM",25430,54.68,428834,48122,5,5,"0","0"
109,"State  Senate, District  30 (Vote For 1)","Write-In","NON",54,0.12,428834,48122,5,5,"0","0"
110,"State  Senate, District  31 (Vote For 1)","REP Mike Reichenbach","REP",32528,65.96,83778,50254,1,1,"0","0"
111,"State  Senate, District  31 (Vote For 1)","DEM Belinda Timmons","DEM",16757,33.98,83778,50254,1,1,"0","0"
112,"State  Senate, District  31 (Vote For 1)","Write-In","NON",31,0.06,83778,50254,1,1,"0","0"
113,"State  Senate, District  32 (Vote For 1)","DEM Ronnie A Sabb","DEM",31477,98.22,832305,51973,6,6,"0","0"
114,"State  Senate, District  32 (Vote For 1)","Write-In","NON",571,1.78,832305,51973,6,6,"0","0"
115,"State  Senate, District  33 (Vote For 1)","REP Luke A Rankin","REP",39618,68.46,267402,60330,1,1,"0","0"
116,"State  Senate, District  33 (Vote For 1)","DEM Pete John Bember","DEM",18130,31.33,267402,60330,1,1,"0","0"
117,"State  Senate, District  33 (Vote For 1)","Write-In","NON",124,0.21,267402,60330,1,1,"0","0"
118,"State  Senate, District  34 (Vote For 1)","REP Stephen Goldfinch","REP",56987,98.99,314447,75132,2,2,"0","0"
119,"State  Senate, District  34 (Vote For 1)","Write-In","NON",581,1.01,314447,75132,2,2,"0","0"
120,"State  Senate, District  35 (Vote For 1)","REP Mike Jones","REP",23095,47.66,374207,51209,4,4,"0","0"
121,"State  Senate, District  35 (Vote For 1)","DEM Jeffrey R Graham","DEM",25284,52.18,374207,51209,4,4,"0","0"
122,"State  Senate, District  35 (Vote For 1)","Write-In","NON",77,0.16,374207,51209,4,4,"0","0"
123,"State  Senate, District  36 (Vote For 1)","REP Jeff Zell","REP",25609,50.60,140628,52398,4,4,"0","0"
124,"State  Senate, District  36 (Vote For 1)","DEM Kevin L Johnson","DEM",24943,49.28,140628,52398,4,4,"0","0"
125,"State  Senate, District  36 (Vote For 1)","Write-In","NON",61,0.12,140628,52398,4,4,"0","0"
126,"State  Senate, District  37 (Vote For 1)","REP Larry Grooms","REP",40361,98.22,414828,57086,2,2,"0","0"
127,"State  Senate, District  37 (Vote For 1)","Write-In","NON",731,1.78,414828,57086,2,2,"0","0"
128,"State  Senate, District  38 (Vote For 1)","REP Sean Bennett","REP",35738,98.20,373639,51958,2,2,"0","0"
129,"State  Senate, District  38 (Vote For 1)","Write-In","NON",655,1.80,373639,51958,2,2,"0","0"
130,"State  Senate, District  39 (Vote For 1)","REP Tom Fernandez","REP",26740,50.95,298871,54126,3,3,"0","0"
131,"State  Senate, District  39 (Vote For 1)","DEM Vernon Stephens","DEM",25619,48.81,298871,54126,3,3,"0","0"
132,"State  Senate, District  39 (Vote For 1)","Write-In","NON",124,0.24,298871,54126,3,3,"0","0"
133,"State  Senate, District  40 (Vote For 1)","REP Sharon Carter","REP",22243,47.38,210834,48462,6,6,"0","0"
134,"State  Senate, District  40 (Vote For 1)","DEM Brad Hutto","DEM",24667,52.54,210834,48462,6,6,"0","0"
135,"State  Senate, District  40 (Vote For 1)","Write-In","NON",40,0.09,210834,48462,6,6,"0","0"
136,"State  Senate, District  41 (Vote For 1)","REP Matt Leber","REP",32715,57.37,398275,59294,3,3,"0","0"
137,"State  Senate, District  41 (Vote For 1)","DEM Rita Adkins","DEM",24195,42.43,398275,59294,3,3,"0","0"
138,"State  Senate, District  41 (Vote For 1)","Write-In","NON",116,0.20,398275,59294,3,3,"0","0"
139,"State  Senate, District  42 (Vote For 1)","DEM Deon Tedder","DEM",26088,98.20,373639,35788,2,2,"0","0"
140,"State  Senate, District  42 (Vote For 1)","Write-In","NON",477,1.80,373639,35788,2,2,"0","0"
141,"State  Senate, District  43 (Vote For 1)","REP Chip Campsen","REP",41996,61.09,433454,72217,3,3,"0","0"
142,"State  Senate, District  43 (Vote For 1)","DEM Julie Cofer Hussey","DEM",26697,38.84,433454,72217,3,3,"0","0"
143,"State  Senate, District  43 (Vote For 1)","Write-In","NON",51,0.07,433454,72217,3,3,"0","0"
144,"State  Senate, District  44 (Vote For 1)","REP Brian Adams","REP",30044,60.50,414828,51831,2,2,"0","0"
145,"State  Senate, District  44 (Vote For 1)","DEM Vicky Wynn","DEM",19566,39.40,414828,51831,2,2,"0","0"
146,"State  Senate, District  44 (Vote For 1)","Write-In","NON",49,0.10,414828,51831,2,2,"0","0"
147,"State  Senate, District  45 (Vote For 1)","DEM Margie Bright Matthews","DEM",31710,97.70,472778,53657,6,6,"0","0"
148,"State  Senate, District  45 (Vote For 1)","Write-In","NON",746,2.30,472778,53657,6,6,"0","0"
149,"State  Senate, District  46 (Vote For 1)","REP Tom Davis","REP",47989,67.30,163771,73431,2,2,"0","0"
150,"State  Senate, District  46 (Vote For 1)","DEM Gwyneth J Saunders","DEM",23280,32.65,163771,73431,2,2,"0","0"
151,"State  Senate, District  46 (Vote For 1)","Write-In","NON",37,0.05,163771,73431,2,2,"0","0"
152,"State  House of Representatives, District  1 (Vote For 1)","REP Bill Whitmire","REP",20495,99.13,129749,26982,2,2,"0","0"
153,"State  House of Representatives, District  1 (Vote For 1)","Write-In","NON",179,0.87,129749,26982,2,2,"0","0"
154,"State  House of Representatives, District  2 (Vote For 1)","REP Adam Duncan","REP",16639,95.87,53441,21579,1,1,"0","0"
155,"State  House of Representatives, District  2 (Vote For 1)","Write-In","NON",717,4.13,53441,21579,1,1,"0","0"
156,"State  House of Representatives, District  3 (Vote For 1)","REP Phillip Bowers","REP",8281,64.28,76308,14914,1,1,"0","0"
157,"State  House of Representatives, District  3 (Vote For 1)","DEM Eunice Lehmacher","DEM",4587,35.61,76308,14914,1,1,"0","0"
158,"State  House of Representatives, District  3 (Vote For 1)","Write-In","NON",15,0.12,76308,14914,1,1,"0","0"
159,"State  House of Representatives, District  4 (Vote For 1)","REP Davey Hiott","REP",19241,98.98,76308,26231,1,1,"0","0"
160,"State  House of Representatives, District  4 (Vote For 1)","Write-In","NON",198,1.02,76308,26231,1,1,"0","0"
161,"State  House of Representatives, District  5 (Vote For 1)","REP Neal Collins","REP",17029,98.24,417763,25024,2,2,"0","0"
162,"State  House of Representatives, District  5 (Vote For 1)","Write-In","NON",305,1.76,417763,25024,2,2,"0","0"
163,"State  House of Representatives, District  6 (Vote For 1)","REP April Cromer","REP",16324,74.33,125731,24923,1,1,"0","0"
164,"State  House of Representatives, District  6 (Vote For 1)","DEM Tony Wagoner","DEM",5580,25.41,125731,24923,1,1,"0","0"
165,"State  House of Representatives, District  6 (Vote For 1)","Write-In","NON",57,0.26,125731,24923,1,1,"0","0"
166,"State  House of Representatives, District  7 (Vote For 1)","REP Lee Gilreath","REP",13699,90.60,483107,23737,3,3,"0","0"
167,"State  House of Representatives, District  7 (Vote For 1)","LIB Hunter Savirino","LIB",1368,9.05,483107,23737,3,3,"0","0"
168,"State  House of Representatives, District  7 (Vote For 1)","Write-In","NON",54,0.36,483107,23737,3,3,"0","0"
169,"State  House of Representatives, District  8 (Vote For 1)","REP Don Chapman","REP",14314,86.90,125731,24726,1,1,"0","0"
170,"State  House of Representatives, District  8 (Vote For 1)","ALN Jackie Todd","ALN",2090,12.69,125731,24726,1,1,"0","0"
171,"State  House of Representatives, District  8 (Vote For 1)","Write-In","NON",67,0.41,125731,24726,1,1,"0","0"
172,"State  House of Representatives, District  9 (Vote For 1)","REP Blake Sanders","REP",14840,98.68,125731,24244,1,1,"0","0"
173,"State  House of Representatives, District  9 (Vote For 1)","Write-In","NON",199,1.32,125731,24244,1,1,"0","0"
174,"State  House of Representatives, District  10 (Vote For 1)","REP Thomas Beach","REP",16218,98.58,543494,29579,3,3,"0","0"
175,"State  House of Representatives, District  10 (Vote For 1)","Write-In","NON",234,1.42,543494,29579,3,3,"0","0"
176,"State  House of Representatives, District  11 (Vote For 1)","REP Craig Gagnon","REP",14815,99.48,181488,20105,3,3,"0","0"
177,"State  House of Representatives, District  11 (Vote For 1)","Write-In","NON",78,0.52,181488,20105,3,3,"0","0"
178,"State  House of Representatives, District  12 (Vote For 1)","REP Daniel Gibson","REP",8251,52.26,48759,18751,2,2,"0","0"
179,"State  House of Representatives, District  12 (Vote For 1)","DEM Jumelle Brooks","DEM",7527,47.68,48759,18751,2,2,"0","0"
180,"State  House of Representatives, District  12 (Vote For 1)","Write-In","NON",9,0.06,48759,18751,2,2,"0","0"
181,"State  House of Representatives, District  13 (Vote For 1)","REP John McCravy","REP",15880,74.75,80974,22926,2,2,"0","0"
182,"State  House of Representatives, District  13 (Vote For 1)","DEM Bill Kimler","DEM",5346,25.17,80974,22926,2,2,"0","0"
183,"State  House of Representatives, District  13 (Vote For 1)","Write-In","NON",17,0.08,80974,22926,2,2,"0","0"
184,"State  House of Representatives, District  14 (Vote For 1)","REP Luke Rankin","REP",13875,96.86,39836,23118,1,1,"0","0"
185,"State  House of Representatives, District  14 (Vote For 1)","Write-In","NON",450,3.14,39836,23118,1,1,"0","0"
186,"State  House of Representatives, District  15 (Vote For 1)","REP Carlton Walker","REP",5284,44.14,414828,15789,2,2,"0","0"
187,"State  House of Representatives, District  15 (Vote For 1)","DEM JA Moore","DEM",6667,55.69,414828,15789,2,2,"0","0"
188,"State  House of Representatives, District  15 (Vote For 1)","Write-In","NON",20,0.17,414828,15789,2,2,"0","0"
189,"State  House of Representatives, District  16 (Vote For 1)","REP Mark N Willis","REP",17423,98.70,381291,30514,2,2,"0","0"
190,"State  House of Representatives, District  16 (Vote For 1)","Write-In","NON",230,1.30,381291,30514,2,2,"0","0"
191,"State  House of Representatives, District  17 (Vote For 1)","REP Mike Burns","REP",20070,99.06,341455,30122,1,1,"0","0"
192,"State  House of Representatives, District  17 (Vote For 1)","Write-In","NON",190,0.94,341455,30122,1,1,"0","0"
193,"State  House of Representatives, District  18 (Vote For 1)","REP Alan Morgan","REP",18376,98.91,341455,28411,1,1,"0","0"
194,"State  House of Representatives, District  18 (Vote For 1)","Write-In","NON",203,1.09,341455,28411,1,1,"0","0"
195,"State  House of Representatives, District  19 (Vote For 1)","REP Patrick Haddon","REP",11663,98.02,341455,23552,1,1,"0","0"
196,"State  House of Representatives, District  19 (Vote For 1)","Write-In","NON",235,1.98,341455,23552,1,1,"0","0"
197,"State  House of Representatives, District  20 (Vote For 1)","REP Stephen Frank","REP",13444,68.13,341455,29973,1,1,"0","0"
198,"State  House of Representatives, District  20 (Vote For 1)","DEM Stephen Dreyfus","DEM",6248,31.66,341455,29973,1,1,"0","0"
199,"State  House of Representatives, District  20 (Vote For 1)","Write-In","NON",40,0.20,341455,29973,1,1,"0","0"
200,"State  House of Representatives, District  21 (Vote For 1)","REP Bobby J Cox","REP",18184,98.28,341455,29805,1,1,"0","0"
201,"State  House of Representatives, District  21 (Vote For 1)","Write-In","NON",319,1.72,341455,29805,1,1,"0","0"
202,"State  House of Representatives, District  22 (Vote For 1)","REP Paul Wickensimer","REP",13243,59.99,341455,30995,1,1,"0","0"
203,"State  House of Representatives, District  22 (Vote For 1)","DEM Brann Fowler","DEM",8794,39.84,341455,30995,1,1,"0","0"
204,"State  House of Representatives, District  22 (Vote For 1)","Write-In","NON",39,0.18,341455,30995,1,1,"0","0"
205,"State  House of Representatives, District  23 (Vote For 1)","LIB James Archibald Atkins Jr","LIB",2168,19.55,341455,32674,1,1,"0","0"
206,"State  House of Representatives, District  23 (Vote For 1)","DEM Chandra Dillard","DEM",8868,79.97,341455,32674,1,1,"0","0"
207,"State  House of Representatives, District  23 (Vote For 1)","Write-In","NON",53,0.48,341455,32674,1,1,"0","0"
208,"State  House of Representatives, District  24 (Vote For 1)","REP Bruce Bannister","REP",14021,60.37,341455,35783,1,1,"0","0"
209,"State  House of Representatives, District  24 (Vote For 1)","DEM Shauna R Johnson","DEM",9171,39.48,341455,35783,1,1,"0","0"
210,"State  House of Representatives, District  24 (Vote For 1)","Write-In","NON",35,0.15,341455,35783,1,1,"0","0"
211,"State  House of Representatives, District  25 (Vote For 1)","REP Tim Kennedy","REP",5694,37.16,341455,26344,1,1,"0","0"
212,"State  House of Representatives, District  25 (Vote For 1)","DEM Wendell Jones","DEM",9608,62.71,341455,26344,1,1,"0","0"
213,"State  House of Representatives, District  25 (Vote For 1)","Write-In","NON",19,0.12,341455,26344,1,1,"0","0"
214,"State  House of Representatives, District  26 (Vote For 1)","REP David Martin","REP",14358,62.56,190236,24214,1,1,"0","0"
215,"State  House of Representatives, District  26 (Vote For 1)","DEM Matt Vilardebo","DEM",8528,37.16,190236,24214,1,1,"0","0"
216,"State  House of Representatives, District  26 (Vote For 1)","Write-In","NON",66,0.29,190236,24214,1,1,"0","0"
217,"State  House of Representatives, District  27 (Vote For 1)","REP David Vaughan","REP",13330,60.02,341455,31573,1,1,"0","0"
218,"State  House of Representatives, District  27 (Vote For 1)","DEM John MacCarthy","DEM",8869,39.93,341455,31573,1,1,"0","0"
219,"State  House of Representatives, District  27 (Vote For 1)","Write-In","NON",12,0.05,341455,31573,1,1,"0","0"
220,"State  House of Representatives, District  28 (Vote For 1)","REP Chris Huff","REP",15095,64.86,341455,32922,1,1,"0","0"
221,"State  House of Representatives, District  28 (Vote For 1)","DEM J Fritz Wiebel","DEM",8145,35.00,341455,32922,1,1,"0","0"
222,"State  House of Representatives, District  28 (Vote For 1)","Write-In","NON",33,0.14,341455,32922,1,1,"0","0"
223,"State  House of Representatives, District  29 (Vote For 1)","REP Dennis Moss","REP",16294,99.23,430728,26764,3,3,"0","0"
224,"State  House of Representatives, District  29 (Vote For 1)","Write-In","NON",127,0.77,430728,26764,3,3,"0","0"
225,"State  House of Representatives, District  30 (Vote For 1)","REP Brian Lawson","REP",14196,79.33,240492,20520,2,2,"0","0"
226,"State  House of Representatives, District  30 (Vote For 1)","DEM Ysante McDowell","DEM",3684,20.59,240492,20520,2,2,"0","0"
227,"State  House of Representatives, District  30 (Vote For 1)","Write-In","NON",15,0.08,240492,20520,2,2,"0","0"
228,"State  House of Representatives, District  31 (Vote For 1)","DEM Rosalyn Henderson-Myers","DEM",8730,98.50,206828,18854,1,1,"0","0"
229,"State  House of Representatives, District  31 (Vote For 1)","Write-In","NON",133,1.50,206828,18854,1,1,"0","0"
